Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1980-01-31,1980,Jan,1,108.24,0.45,27704,1417.5,7,60.22,0.01,5.4,220.0,SmallFamilyCar,Georgia
1980-01-31,1980,Jan,1,108.24,0.45,77270,763.6999999999999,7,60.22,0.01,5.4,72.0,Sports,Georgia
1980-01-31,1980,Jan,1,108.24,0.36,19665,1417.5,7,60.22,0.01,5.4,238.0,SuperMiniCar,Georgia
1980-01-31,1980,Jan,1,108.24,0.38,36986,1417.5,7,60.22,0.01,5.4,224.0,MediumFamilyCar,Georgia
1980-02-29,1980,Feb,1,98.75,0.46,26609,2773.4,4,45.99,-0.31,4.8,280.0,SmallFamilyCar,New York
1980-02-29,1980,Feb,1,98.75,0.36,18963,2773.4,4,45.99,-0.31,4.8,266.0,SuperMiniCar,New York
1980-02-29,1980,Feb,1,98.75,0.39,33517,2773.4,4,45.99,-0.31,4.8,266.0,MediumFamilyCar,New York
1980-03-31,1980,Mar,1,107.48,0.85,33735,2854.6,3,35.14,-0.31,3.4,967.1,MediumFamilyCar,New York
1980-03-31,1980,Mar,1,107.48,0.86,70860,1537.1999999999998,3,35.14,-0.31,3.4,967.1,Sports,New York
1980-03-31,1980,Mar,1,107.48,0.87,52479,1537.1999999999998,3,35.14,-0.31,3.4,967.1,ExecutiveCar,New York
1980-04-30,1980,Apr,1,115.01,1.0,56484,809.9,7,45.67,0.23,4.2,260.0,ExecutiveCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,15933,1504.3,7,45.67,0.23,4.2,695.0,SuperMiniCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,75390,809.9,7,45.67,0.23,4.2,264.0,Sports,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,25208,1504.3,7,45.67,0.23,4.2,716.0,SmallFamilyCar,Illinois
1980-04-30,1980,Apr,1,115.01,1.0,39352,1504.3,7,45.67,0.23,4.2,727.0,MediumFamilyCar,Illinois
1980-05-31,1980,May,1,98.72,0.98,25387,1200.5,4,53.0,0.14,5.3,798.0,SmallFamilyCar,California
1980-05-31,1980,May,1,98.72,0.8,59827,646.0999999999999,4,53.0,0.14,5.3,270.0,ExecutiveCar,California
1980-05-31,1980,May,1,98.72,0.86,75191,646.0999999999999,4,53.0,0.14,5.3,294.0,Sports,California
1980-05-31,1980,May,1,98.72,0.85,38434,1200.5,4,53.0,0.14,5.3,798.0,MediumFamilyCar,California
1980-06-30,1980,Jun,1,105.55,0.97,18598,2341.5,5,20.3,-1.61,2.9,967.1,SuperMiniCar,Illinois
1980-06-30,1980,Jun,1,105.55,0.98,75734,1260.6999999999998,5,20.3,-1.61,2.9,967.1,Sports,Illinois
1980-06-30,1980,Jun,1,105.55,0.77,32590,2341.5,5,20.3,-1.61,2.9,967.1,MediumFamilyCar,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,31063,2573.2,3,34.58,0.41,2.9,716.0,MediumFamilyCar,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,76265,1386.0,3,34.58,0.41,2.9,261.0,Sports,Illinois
1980-07-31,1980,Jul,1,82.45,0.5,57421,1386.0,3,34.58,0.41,2.9,275.0,ExecutiveCar,Illinois
1980-08-31,1980,Aug,1,98.76,0.25,70466,1429.4,3,55.65,0.38,3.0,271.0,Sports,New York
1980-08-31,1980,Aug,1,98.76,0.25,59949,1429.4,3,55.65,0.38,3.0,272.0,ExecutiveCar,New York
1980-08-31,1980,Aug,1,98.76,0.25,18233,2654.4,3,55.65,0.38,3.0,716.0,SuperMiniCar,New York
1980-08-31,1980,Aug,1,98.76,0.25,34324,2654.4,3,55.65,0.38,3.0,709.0,MediumFamilyCar,New York
1980-09-30,1980,Sep,1,87.68,0.77,54452,557.9,3,33.31,-0.67,5.2,967.1,ExecutiveCar,California
1980-09-30,1980,Sep,1,87.68,0.85,39111,1035.3,3,33.31,-0.67,5.2,967.1,MediumFamilyCar,California
1980-09-30,1980,Sep,1,87.68,0.78,74426,557.9,3,33.31,-0.67,5.2,967.1,Sports,California
1980-10-31,1980,Oct,1,101.45,0.65,55881,2244.9,5,42.52,0.22,4.4,220.0,ExecutiveCar,New York
1980-10-31,1980,Oct,1,101.45,0.64,75578,2244.9,5,42.52,0.22,4.4,230.0,Sports,New York
1980-10-31,1980,Oct,1,101.45,0.69,35342,4169.9,5,42.52,0.22,4.4,595.0,MediumFamilyCar,New York
1980-10-31,1980,Oct,1,101.45,0.62,16980,4169.9,5,42.52,0.22,4.4,607.0,SuperMiniCar,New York
1980-10-31,1980,Oct,1,101.45,0.67,23726,4169.9,5,42.52,0.22,4.4,580.0,SmallFamilyCar,New York
1980-11-30,1980,Nov,1,102.36,0.88,78322,2419.9,5,43.3,0.02,2.6,280.0,Sports,California
1980-11-30,1980,Nov,1,102.36,0.9,56665,2419.9,5,43.3,0.02,2.6,289.0,ExecutiveCar,California
1980-11-30,1980,Nov,1,102.36,0.87,23642,4494.7,5,43.3,0.02,2.6,776.0,SmallFamilyCar,California
1980-12-31,1980,Dec,1,102.33,1.38,23993,3542.0,6,23.54,-0.84,3.3,1136.0,SmallFamilyCar,New York
1980-12-31,1980,Dec,1,102.33,1.13,52849,1906.8,6,23.54,-0.84,3.3,673.0,ExecutiveCar,New York
1980-12-31,1980,Dec,1,102.33,1.27,16855,3542.0,6,23.54,-0.84,3.3,1143.0,SuperMiniCar,New York
1980-12-31,1980,Dec,1,102.33,1.25,30005,3542.0,6,23.54,-0.84,3.3,1120.0,MediumFamilyCar,New York
1981-01-31,1981,Jan,1,95.2,0.46,18056,2753.8,8,32.25,0.27,5.9,149.0,SuperMiniCar,Illinois
1981-01-31,1981,Jan,1,95.2,0.44,57390,1482.6,8,32.25,0.27,5.9,48.0,ExecutiveCar,Illinois
1981-01-31,1981,Jan,1,95.2,0.44,71685,1482.6,8,32.25,0.27,5.9,48.0,Sports,Illinois
1981-02-28,1981,Feb,1,122.98,0.46,70769,1619.8,9,30.89,-0.04,5.8,105.0,Sports,California
1981-02-28,1981,Feb,1,122.98,0.49,56905,1619.8,9,30.89,-0.04,5.8,102.0,ExecutiveCar,California
1981-02-28,1981,Feb,1,122.98,0.43,15792,3008.6,9,30.89,-0.04,5.8,284.0,SuperMiniCar,California
1981-03-31,1981,Mar,1,87.32,0.87,37489,4316.9,4,15.78,-0.96,4.4,711.74,MediumFamilyCar,Georgia
1981-03-31,1981,Mar,1,87.32,0.92,52489,2324.7,4,15.78,-0.96,4.4,711.74,ExecutiveCar,Georgia
1981-03-31,1981,Mar,1,87.32,0.9,76949,2324.7,4,15.78,-0.96,4.4,711.74,Sports,Georgia
1981-03-31,1981,Mar,1,87.32,0.94,20488,4316.9,4,15.78,-0.96,4.4,711.74,SmallFamilyCar,Georgia
1981-04-30,1981,Apr,1,86.71,1.0,72433,931.7,6,15.68,-0.01,2.8,227.0,Sports,California
1981-04-30,1981,Apr,1,86.71,1.0,15791,1729.6999999999998,6,15.68,-0.01,2.8,679.0,SuperMiniCar,California
1981-04-30,1981,Apr,1,86.71,1.0,25657,1729.6999999999998,6,15.68,-0.01,2.8,637.0,SmallFamilyCar,California
1981-04-30,1981,Apr,1,86.71,1.0,59823,931.7,6,15.68,-0.01,2.8,236.0,ExecutiveCar,California
1981-05-31,1981,May,1,116.55,0.99,59207,827.4,4,55.25,0.72,4.1,711.74,ExecutiveCar,California
1981-05-31,1981,May,1,116.55,0.87,16809,1537.1999999999998,4,55.25,0.72,4.1,711.74,SuperMiniCar,California
